number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_std,state
46,0.9111302940364705,2026-09-18 20:30:34.610549,2026-09-18 20:30:37.332397,0 days 00:00:02.721848,0.8070291116195787,0.8770251434592047,0.0020948082913090707,0.011518401285156162,5,4,0.9372762209687665,650,1.7557360904325883,4.06554605022276,0.8266539910601274,0.018345481538854905,COMPLETE
47,0.8963327402012491,2026-09-18 20:30:37.332877,2026-09-18 20:30:39.032480,0 days 00:00:01.699603,0.6946364494057556,0.8580363110663884,0.000517039779419619,0.011441946474056434,6,2,0.5362902064482441,800,7.040949143146754,0.13376967442955043,0.8531601785540189,,PRUNED
48,0.9073995057349364,2026-09-18 20:30:39.032777,2026-09-18 20:30:41.651412,0 days 00:00:02.618635,0.5916615507724822,0.8690813605171316,0.0009724494179396262,0.020683651245199896,8,6,1.065928746717343,550,0.6508427419810106,0.07341400139427157,0.9225446497546579,0.023346801453411888,COMPLETE
49,0.9034030865504757,2026-09-18 20:30:41.651763,2026-09-18 20:30:44.189743,0 days 00:00:02.537980,0.7438459844867522,0.8359057071109384,0.0010924701551632918,0.01610451036054485,6,4,3.0403298461343615,800,0.017524440929789182,0.38977029840648164,0.9642160617301836,0.020849794160350085,COMPLETE
50,0.9080095112520208,2026-09-18 20:30:44.190175,2026-09-18 20:30:48.559531,0 days 00:00:04.369356,0.7661782396530373,0.9431452067667343,0.0034730695414513357,0.014280041494971299,6,5,0.6574278005461557,850,1.6231510390837787,3.6322339379734516,0.753255163677468,0.021752475753648453,COMPLETE
51,0.9093923829201364,2026-09-18 20:30:48.559849,2026-09-18 20:30:50.231425,0 days 00:00:01.671576,0.5885392949531056,0.9133099151106124,0.0033701323177625503,0.01139611947440251,3,4,3.958253752462609,450,2.4414600434218117,0.13560698424355702,0.8979985788230522,0.021263201425259393,COMPLETE
52,0.8991623628301468,2026-09-18 20:30:50.231778,2026-09-18 20:30:51.171067,0 days 00:00:00.939289,0.6233627498088219,0.9058994666016403,0.0034027372604771024,0.01123698167364144,2,4,2.957192292189079,250,0.19044259832602084,0.020121472838373587,0.7464788754752839,0.03322299869666996,COMPLETE
53,0.9036833524711607,2026-09-18 20:30:51.171398,2026-09-18 20:30:53.675195,0 days 00:00:02.503797,0.8941628806719664,0.9930215226793597,0.00023099939620773732,0.010527409410980968,8,4,4.370609923865511,650,0.2560133867560484,15.135034835426541,0.8411463202917397,0.021273851866998903,COMPLETE
54,0.8871024395979831,2026-09-18 20:30:53.675546,2026-09-18 20:30:54.284886,0 days 00:00:00.609340,0.5287602524182435,0.9797719994151721,0.001999920592380258,0.014026962145375172,3,4,2.6878901803739264,500,9.013219523262881,0.23712407601114985,0.9179895923559035,,PRUNED
55,0.8885822601582496,2026-09-18 20:30:54.285123,2026-09-18 20:30:55.317474,0 days 00:00:01.032351,0.8819590099889398,0.9296742453866537,0.0016251956732093755,0.019075783586159245,3,4,0.8694964245402247,600,8.498985889385194,14.91621425174379,0.927203721508928,,PRUNED
56,0.911560522362242,2026-09-18 20:30:55.317731,2026-09-18 20:30:58.739946,0 days 00:00:03.422215,0.8194887125851197,0.744809142332801,0.00013218158790298328,0.01569396095721976,5,4,0.7887339702969169,900,1.2692277096736688,0.9125582029523507,0.9787786062861723,0.02268654287132363,COMPLETE
57,0.910799221307772,2026-09-18 20:30:58.740257,2026-09-18 20:31:01.547870,0 days 00:00:02.807613,0.9728194976775743,0.7364903240764477,0.00040384834611504174,0.017586646361687375,8,3,0.6806105174250573,900,1.1424040033386944,7.280999274566289,0.9535343508881363,0.020059119302880724,COMPLETE
58,0.9010163973914377,2026-09-18 20:31:01.548170,2026-09-18 20:31:03.922924,0 days 00:00:02.374754,0.9812444205524957,0.5028988060614703,0.000183213193790165,0.013400258763411383,7,3,1.0067720445923707,900,3.8764299053599163,6.427596403190763,0.8826937064677021,0.02425526889378954,COMPLETE
59,0.9102410907075809,2026-09-18 20:31:03.923439,2026-09-18 20:31:06.557424,0 days 00:00:02.633985,0.9172993309195043,0.7291945796974538,0.01249461572971758,0.010015903154625633,5,3,0.662139420187401,900,0.2104279212144553,10.408425015457736,0.9420149701837984,0.021457385684208023,COMPLETE
60,0.9066441468619132,2026-09-18 20:31:06.559336,2026-09-18 20:31:08.812685,0 days 00:00:02.253349,0.7191077920775732,0.6273181356598853,0.014191649272089496,0.014368806583281468,4,3,2.0988953275768623,900,0.18828923330437913,9.920754239130593,0.9220619676997021,0.025175151687967214,COMPLETE
61,0.912404786733342,2026-09-18 20:31:08.813194,2026-09-18 20:31:11.617852,0 days 00:00:02.804658,0.9821676792215251,0.8565901956692122,0.19506666971443712,0.010678576852153655,5,3,0.6866191417148503,800,0.004942630293360296,8.0604914630824,0.9788952480811698,0.019955919638746853,COMPLETE
62,0.8812056821099996,2026-09-18 20:31:11.618340,2026-09-18 20:31:12.225898,0 days 00:00:00.607558,0.9162163173655303,0.8382372440346612,0.026101787131578215,0.010851145165774602,3,2,1.0118976950937348,650,0.003239798402982166,27.74555331781753,0.9680523547856551,,PRUNED
63,0.9097996366377524,2026-09-18 20:31:12.226137,2026-09-18 20:31:15.361793,0 days 00:00:03.135656,0.9656107025610491,0.7585156927495174,0.00010162845373214903,0.0188394122992161,8,4,0.5142957847489594,750,0.05457944982412834,15.719802458022029,0.9833957002876004,0.021064690783643404,COMPLETE
64,0.910190058315435,2026-09-18 20:31:15.362076,2026-09-18 20:31:17.173617,0 days 00:00:01.811541,0.962536483741903,0.921692699122487,1.2687668137663963,0.012142789143050062,6,3,0.5454885503589415,550,0.0004636401827114787,1.364327872965832,0.8731928089426002,0.020276422401036956,COMPLETE
65,0.8998887636057943,2026-09-18 20:31:17.174072,2026-09-18 20:31:18.343444,0 days 00:00:01.169372,0.7510806943129494,0.8684446763513961,2.008087031705275,0.011466001873287507,6,3,0.8411869539410903,500,0.0003461151604087908,9.449418716205276,0.8032196200471351,,PRUNED
66,0.9141597854979902,2026-09-18 20:31:18.343709,2026-09-18 20:31:22.523379,0 days 00:00:04.179670,0.9390539644350304,0.8900095073192701,0.08159544102439226,0.012591428028395349,3,4,0.9993248106920819,900,0.17059175206792787,4.993214755147682,0.9730374421740182,0.018142029217555568,COMPLETE
67,0.891012313188406,2026-09-18 20:31:22.523687,2026-09-18 20:31:24.136153,0 days 00:00:01.612466,0.9982580250996899,0.8554147042082617,0.12560865166348947,0.01871284215344733,5,5,1.3244383495321086,900,0.002605116027240055,2.350980265572577,0.9554882452504662,,PRUNED
68,0.9126733566065974,2026-09-18 20:31:24.136401,2026-09-18 20:31:28.220633,0 days 00:00:04.084232,0.7971401864821718,0.7969996791150005,0.008096696962085117,0.011091426430406282,6,5,1.5297730349649816,900,1.488647759444424,0.31103433044819706,0.885044245808457,0.023345780802693998,COMPLETE
69,0.907558606767169,2026-09-18 20:31:28.220951,2026-09-18 20:31:30.710128,0 days 00:00:02.489177,0.8897251149852115,0.645565455973774,0.09789596964137602,0.02968374245504909,5,5,2.9103719684369174,800,3.4269288991781113,0.4860112226603672,0.8558339666191264,0.022952774116516677,COMPLETE
70,0.9130823079462853,2026-09-18 20:31:30.710430,2026-09-18 20:31:33.916171,0 days 00:00:03.205741,0.7036453157238888,0.8831645681413841,0.00398185142613603,0.043533951667473425,8,4,0.9280056327215033,800,1.484435145086784,41.77157436997948,0.9713205198525151,0.022229656988064127,COMPLETE
71,0.890280975266625,2026-09-18 20:31:33.916520,2026-09-18 20:31:34.941740,0 days 00:00:01.025220,0.7826432822735124,0.9957305698889704,0.012404324603140834,0.0606996891896509,8,4,1.9195118201198624,850,0.8366089648699399,2.4545709016897512,0.9603757671097817,,PRUNED
72,0.9134543827990613,2026-09-18 20:31:34.941984,2026-09-18 20:31:39.043244,0 days 00:00:04.101260,0.8801100307320201,0.9351300247387953,0.05935951993318003,0.013720906507621915,5,5,3.380794194261135,900,4.7924904272959585,6.600699976138143,0.9881413054431558,0.019701064706864512,COMPLETE
73,0.8752362256578506,2026-09-18 20:31:39.043835,2026-09-18 20:31:40.741184,0 days 00:00:01.697349,0.7854017705236145,0.9426290081820355,0.08880792778546807,0.011205209649468582,6,6,1.843557993850138,900,9.629445295831138,0.0718819022028855,0.9616589977797088,,PRUNED
74,0.9112336505372394,2026-09-18 20:31:40.741432,2026-09-18 20:31:45.429285,0 days 00:00:04.687853,0.8794907300156937,0.7838954177521524,0.005441062145724573,0.013271266415261619,6,6,1.9515086265751567,850,3.120693155074593,6.186166348917168,0.9487768416768411,0.021834263323729047,COMPLETE
