MP Name,Top_Vendor,Vendor_Dominance_Pct,Is_Monopoly_Flag,Vendor_Is_Shell,Vendor_Is_Blacklisted,In_Cartel_Cluster,Collusion_Risk_Score
Dr. Kavita Patidar (2022-28),NATIONAL ENGINEERING WORKS,15.44,False,False,False,False,0
KULDEEP INDORA,RAJ CONSTRUCTION COMPANY,16.79,False,False,False,False,0
DR KALGE SHIVAJI BANDAPPA,VISHWASAMRAT MAGASUARGIYA MAJOOR SAHAKARI SANSTHA MARYADIT,6.9,False,False,False,False,0
JYOTIRADITYA M. SCINDIA,cmo shivpuri,10.47,False,False,False,False,0
Ajay Bhatt,MOHD ASSIF,4.65,False,False,False,False,0
AMARSING TISSO,James Phangcho,24.97,False,False,False,False,0
ARUN NEHRU,KSR CONSTRUCTIONS,6.76,False,False,False,False,0
Manoj Tiwari,Central Electronics Limited,75.67,True,False,False,False,1
AJENDRA SINGH LODHI,KUNAL TRADERS,25.26,False,False,False,False,0
CHIRAG PASWAN,DHARMVIR KUMAR,18.38,False,False,False,False,0
Shri Derek O' Brien (2023-29),KHIVRAJ MOTORS,46.62,False,False,False,False,0
Smt Aparajita Sarangi,Subhasmita Sahoo,13.18,False,False,False,False,0
Shri Ajay Makan (2024-30),Kodagu Nirmithi Kendra,84.34,True,False,False,False,1
Shri Harbhajan Singh (2022-28),BIROKE BUILDERS PVT LTD,8.13,False,False,False,False,0
SAGAR ESHWAR KHANDRE,PRAKASH,12.16,False,False,False,False,0
Shri Narain Dass Gupta (2024-30),BANSAL ELECTRIC STORE,38.95,False,False,False,False,0
T Sumathy (A) Thamizhachi Thangapandian ,L N DREAMWAY CONSTRUCTION,36.73,False,False,False,False,0
MANISH TEWARI,Prabh Kirpa Enterprises,13.7,False,False,False,False,0
Thirumaa Valavan Thol,Arikrishnan k,7.14,False,False,False,False,0
Shri Surendra Singh Nagar (2022-28),BALAJI SUPPLIER,31.58,False,False,False,False,0
D M Kathir Anand,VINAYAGAM ENTERPRISES,11.82,False,False,False,False,0
RAKESH RATHOR,Ravi Electronics,20.15,False,False,False,False,0
Vishnu Dayal Ram,SITA RAM PATEL,72.44,True,False,False,False,1
CN Annadurai,T S SOLAR POWER SYSTEM,40.63,False,False,False,False,0
Smt. Mahua Maji (2022-28),SAMEER TOPPO,35.96,False,False,True,False,1
MALAIYARASAN D,DHANASEKARAN K,40.88,False,False,False,False,0
Shri Imran Pratapgarhi (2022-28),UNITY ENTERPRISES,27.25,False,False,False,False,0
Rahul Kaswan,SHAHIR TRADING AND CONSTRUCTION COMPANY,4.99,False,False,False,False,0
TANGELLA UDAY SRINIVAS,SRI MURALI KRISHNA CONSTRUCTIONS,32.96,False,False,False,False,0
Ramprit Mandal,VIGYAN UPKARAN KENDRA,26.9,False,False,False,False,0
CHANDUBHAI CHHAGANBHAI SHIHORA,MSS MEDITECHNO,5.03,False,False,False,False,0
M. MALLESH BABU,KRIDL BHUSIRI ACCOUNT WORKS,19.99,False,False,False,False,0
NARAYAN DAS AHIRWAR,shyam swaroop manufacturere,65.35,False,False,False,False,0
Kiren Rijiju,Ms Mohnio Enterprises,6.06,False,False,False,False,0
Kamaljeet Sehrawat,ASN Services Pvt Limited,26.45,False,False,False,False,0
LAXMIKANT PAPPU NISHAD,JAI MATA DI VP CONSTRUCTION,79.09,True,False,False,False,1
Shri Tapir Gao,BKM Enterprises,10.85,False,False,False,False,0
Durga Das Uikey ,MP STATE AGRO INDUSTRIES DEVELOPMENT CORP LTD,48.82,False,False,False,False,0
PARIMAL SUKLABAIDYA,MS North East Information Technology,17.45,False,False,False,False,0
SURENDRA PRASAD YADAV,SIMRAN INDUSTRIES GROUP,21.77,False,False,False,False,0
Kinjarapu Ram Mohan Naidu,sudiksa infra projects,22.32,False,False,False,False,0
DINESHBHAI MAKWANA,LABMEDICA SYSTEMS PVT LTD,63.69,False,False,False,False,0
EATALA RAJENDER,SPR Infra,13.21,False,False,False,False,0
PRANITI SUSHILKUMAR SHINDE,MILAN SAHAKARI MAJUR SANSTHA MARYADIT SOLAPUR,23.62,False,False,False,False,0
Shri Jyotirmay Singh Mahato ,ATANU PATRA,100.0,True,False,False,False,1
Shri Kartikeya Sharma (2022-28),KMT Construction Company,100.0,True,False,False,False,1
Shri Mayankkumar Nayak (2024-30),ASIAN CONSTRUCTION,8.39,False,False,False,False,0
Vellalath Kochukrishnan Nair Sreekandan,VISION ELECTRICALS AND ELECTRONICS,31.2,False,False,False,False,0
DR. PRASHANT YADAORAO PADOLE,GRAM PANCHAYAT CHANDORI,7.64,False,False,False,False,0
DR. RAJESH MISHRA,SADGURU SAI INFRA WORLD PVT LTD REWA,32.54,False,False,False,False,0
Dr. Sikander Kumar (2022-28),Universal Press,9.31,False,False,False,False,0
NIMUBEN JAYANTIBHAI BAMBHANIYA,SARVOTTAM APPLIANCES PRIVATE LIMITED,38.97,False,False,False,False,0
CHAMALA KIRAN KUMAR REDDY,DORNALA ANJAIAH,30.84,False,False,False,False,0
DHARMENDRA YADAV,JAI SHREE BALAJI CONSTRUCTION,12.46,False,False,False,False,0
SHIVMANGAL SINGH TOMAR,THE MP STATE AGRO IND DEV CORP LTD SHEOPUR,20.43,False,False,False,False,0
NAVEEN JINDAL,THE KAUSHIK CO OP L AND C SOCITY PABNAWA,4.59,False,False,False,False,0
Smt. Sulata Deo (2022-28),PRAGNYA PARAMITA  SAHOO,8.94,False,False,False,False,0
RACHNA BANERJEE,MAA KALI BUILDERS,21.84,False,False,False,False,0
Magunta Sreenivasulu Reddy,V V SAMBASIVA SRI KRISHNA,21.84,False,False,False,False,0
Shri M K Raghavan,Nisar T P,18.03,False,False,False,False,0
RICHARD VANLALHMANGAIHA,VC PHULDUNGSEI ZAMPUI,2.84,False,False,False,False,0
Bharatsinhji Shankarji Dabhi,YUG ENTERPRISE,19.28,False,False,False,False,0
Smt. Phulo Devi Netam (2026-32),Rameshwar Gupta,40.49,False,False,False,False,0
